date,cfs
2017-06-08,3425.0
2017-06-09,3645.0
2017-06-10,3711.0
2017-06-11,3769.0
2017-06-12,3709.0
2017-06-13,3555.0
2017-06-14,3441.0
2017-06-15,2975.0
2017-06-16,2876.0
2017-06-17,3141.0
2017-06-18,3673.0
2017-06-19,4016.0
2017-06-20,4416.0
2017-06-21,4367.0
2017-06-22,4343.0
2017-06-23,4050.0
2017-06-24,3700.0
2017-06-25,3446.0
2017-06-26,3276.0
2017-06-27,3016.0
2017-06-28,2658.0
2017-06-29,2225.0
2017-06-30,1878.0
2017-07-01,1683.0
2017-07-02,1567.0
2017-07-03,1554.0
2017-07-04,1543.0
2017-07-05,1588.0
2017-07-06,1530.0
2017-07-07,1468.0
2017-07-08,1359.0
2017-07-09,1319.0
2017-07-10,1283.0
2017-07-11,1248.0
2017-07-12,1320.0
2017-07-13,1623.0
2017-07-14,1851.0
2017-07-15,1732.0
2017-07-16,1936.0
2017-07-17,1616.0
2017-07-18,1508.0
2017-07-19,1458.0
2017-07-20,1466.0
2017-07-21,1446.0
2017-07-22,1308.0
2017-07-23,1323.0
2017-07-24,1237.0
2017-07-25,1189.0
2017-07-26,1313.0
2017-07-27,1338.0
2017-07-28,1280.0
2017-07-29,1331.0
2017-07-30,1637.0
2017-07-31,1727.0
2017-08-01,1631.0
2017-08-02,1598.0
2017-08-03,1551.0
2017-08-04,1452.0
2017-08-05,1322.0
2017-08-06,1249.0
2017-08-07,1239.0
2017-08-08,1252.0
2017-08-09,1269.0
2017-08-10,1156.0
2017-08-11,1102.0
2017-08-12,1095.0
2017-08-13,1044.0
2017-08-14,1001.0
2017-08-15,969.0
2017-08-16,955.0
2017-08-17,887.0
2017-08-18,823.0
2017-08-19,766.0
2017-08-20,704.0
2017-08-21,704.0
2017-08-22,759.0
2017-08-23,729.0
2017-08-24,748.0
2017-08-25,849.0
2017-08-26,863.0
2017-08-27,808.0
2017-08-28,800.0
2017-08-29,772.0
2017-08-30,751.0
2017-08-31,761.0
2017-09-01,740.0
2017-09-02,717.0
2017-09-03,680.0
2017-09-04,654.0
2017-09-05,629.0
2017-09-06,495.0
2017-09-07,489.0
2017-09-08,482.0
2017-09-09,470.0
2017-09-10,455.0
2017-09-11,458.0
2017-09-12,500.0
2017-09-13,505.0
2017-09-14,476.0
2017-09-15,471.0
2017-09-16,465.0
2017-09-17,458.0
2017-09-18,459.0
2017-09-19,455.0
2017-09-20,427.0
2017-09-21,399.0
2017-09-22,389.0
2017-09-23,397.0
2017-09-24,461.0
2017-09-25,463.0
2017-09-26,450.0
2017-09-27,443.0
2017-09-28,549.0
2017-09-29,529.0
2017-09-30,500.0
2017-10-01,490.0
2018-04-01,285.0
2018-04-02,287.0
2018-04-03,285.0
2018-04-04,285.0
2018-04-05,269.0
2018-04-06,263.0
2018-04-07,263.0
2018-04-08,300.0
2018-04-09,371.0
2018-04-10,350.0
2018-04-11,295.0
2018-04-12,357.0
2018-04-13,416.0
2018-04-14,416.0
2018-04-15,402.0
2018-04-16,399.0
2018-04-17,389.0
2018-04-18,368.0
2018-04-19,358.0
2018-04-20,373.0
2018-04-21,404.0
2018-04-22,396.0
2018-04-23,374.0
2018-04-24,376.0
2018-04-25,468.0
2018-04-26,441.0
2018-04-27,436.0
