agency_cd	site_no	datetime	tz_cd	211112_00060	211112_00060_cd
5s	15s	20d	6s	14n	10s
USGS	07094500	2017-06-08 00:00	MDT	3300	A
USGS	07094500	2017-06-08 00:15	MDT	3300	A
USGS	07094500	2017-06-08 00:30	MDT	3300	A
USGS	07094500	2017-06-08 00:45	MDT	3300	A
USGS	07094500	2017-06-08 01:00	MDT	3290	A
USGS	07094500	2017-06-08 01:15	MDT	3280	A
USGS	07094500	2017-06-08 01:30	MDT	3250	A
USGS	07094500	2017-06-08 01:45	MDT	3230	A
USGS	07094500	2017-06-08 02:00	MDT	3200	A
USGS	07094500	2017-06-08 02:15	MDT	3170	A
USGS	07094500	2017-06-08 02:30	MDT	3160	A
USGS	07094500	2017-06-08 02:45	MDT	3160	A
USGS	07094500	2017-06-08 03:00	MDT	3200	A
USGS	07094500	2017-06-08 03:15	MDT	3240	A
USGS	07094500	2017-06-08 03:30	MDT	3280	A
USGS	07094500	2017-06-08 03:45	MDT	3310	A
USGS	07094500	2017-06-08 04:00	MDT	3330	A
USGS	07094500	2017-06-08 04:15	MDT	3340	A
USGS	07094500	2017-06-08 04:30	MDT	3340	A
USGS	07094500	2017-06-08 04:45	MDT	3340	A
USGS	07094500	2017-06-08 05:00	MDT	3340	A
USGS	07094500	2017-06-08 05:15	MDT	3360	A
USGS	07094500	2017-06-08 05:30	MDT	3370	A
USGS	07094500	2017-06-08 05:45	MDT	3370	A
USGS	07094500	2017-06-08 06:00	MDT	3380	A
USGS	07094500	2017-06-08 06:15	MDT	3380	A
USGS	07094500	2017-06-08 06:30	MDT	3390	A
USGS	07094500	2017-06-08 06:45	MDT	3390	A
USGS	07094500	2017-06-08 07:00	MDT	3400	A
USGS	07094500	2017-06-08 07:15	MDT	3410	A
USGS	07094500	2017-06-08 07:30	MDT	3430	A
USGS	07094500	2017-06-08 07:45	MDT	3430	A
USGS	07094500	2017-06-08 08:00	MDT	3440	A
USGS	07094500	2017-06-08 08:15	MDT	3450	A
USGS	07094500	2017-06-08 08:30	MDT	3450	A
USGS	07094500	2017-06-08 08:45	MDT	3450	A
USGS	07094500	2017-06-08 09:00	MDT	3460	A
USGS	07094500	2017-06-08 09:15	MDT	3470	A
USGS	07094500	2017-06-08 09:30	MDT	3470	A
USGS	07094500	2017-06-08 09:45	MDT	3480	A
USGS	07094500	2017-06-08 10:00	MDT	3480	A
USGS	07094500	2017-06-08 10:15	MDT	3490	A
USGS	07094500	2017-06-08 10:30	MDT	3490	A
USGS	07094500	2017-06-08 10:45	MDT	3500	A
USGS	07094500	2017-06-08 11:00	MDT	3500	A
USGS	07094500	2017-06-08 11:15	MDT	3510	A
USGS	07094500	2017-06-08 11:30	MDT	3510	A
USGS	07094500	2017-06-08 11:45	MDT	3510	A
USGS	07094500	2017-06-08 12:00	MDT	3510	A
USGS	07094500	2017-06-08 12:15	MDT	3520	A
USGS	07094500	2017-06-08 12:30	MDT	3520	A
USGS	07094500	2017-06-08 12:45	MDT	3520	A
USGS	07094500	2017-06-08 13:00	MDT	3520	A
USGS	07094500	2017-06-08 13:15	MDT	3530	A
USGS	07094500	2017-06-08 13:30	MDT	3540	A
USGS	07094500	2017-06-08 13:45	MDT	3540	A
USGS	07094500	2017-06-08 14:00	MDT	3540	A
USGS	07094500	2017-06-08 14:15	MDT	3540	A
USGS	07094500	2017-06-08 14:30	MDT	3540	A
USGS	07094500	2017-06-08 14:45	MDT	3540	A
USGS	07094500	2017-06-08 15:00	MDT	3540	A
USGS	07094500	2017-06-08 15:15	MDT	3540	A
USGS	07094500	2017-06-08 15:30	MDT	3530	A
USGS	07094500	2017-06-08 15:45	MDT	3520	A
USGS	07094500	2017-06-08 16:00	MDT	3520	A
USGS	07094500	2017-06-08 16:15	MDT	3520	A
USGS	07094500	2017-06-08 16:30	MDT	3520	A
USGS	07094500	2017-06-08 16:45	MDT	3510	A
USGS	07094500	2017-06-08 17:00	MDT	3510	A
USGS	07094500	2017-06-08 17:15	MDT	3500	A
USGS	07094500	2017-06-08 17:30	MDT	3500	A
USGS	07094500	2017-06-08 17:45	MDT	3490	A
USGS	07094500	2017-06-08 18:00	MDT	3480	A
USGS	07094500	2017-06-08 18:15	MDT	3480	A
USGS	07094500	2017-06-08 18:30	MDT	3470	A
USGS	07094500	2017-06-08 18:45	MDT	3470	A
USGS	07094500	2017-06-08 19:00	MDT	3470	A
USGS	07094500	2017-06-08 19:15	MDT	3460	A
USGS	07094500	2017-06-08 19:30	MDT	3460	A
USGS	07094500	2017-06-08 19:45	MDT	3460	A
USGS	07094500	2017-06-08 20:00	MDT	3450	A
USGS	07094500	2017-06-08 20:15	MDT	3450	A
USGS	07094500	2017-06-08 20:30	MDT	3450	A
USGS	07094500	2017-06-08 20:45	MDT	3450	A
USGS	07094500	2017-06-08 21:00	MDT	3440	A
USGS	07094500	2017-06-08 21:15	MDT	3440	A
USGS	07094500	2017-06-08 21:30	MDT	3440	A
USGS	07094500	2017-06-08 21:45	MDT	3430	A
USGS	07094500	2017-06-08 22:00	MDT	3430	A
USGS	07094500	2017-06-08 22:15	MDT	3430	A
USGS	07094500	2017-06-08 22:30	MDT	3410	A
USGS	07094500	2017-06-08 22:45	MDT	3410	A
USGS	07094500	2017-06-08 23:00	MDT	3400	A
USGS	07094500	2017-06-08 23:15	MDT	3400	A
USGS	07094500	2017-06-08 23:30	MDT	3400	A
USGS	07094500	2017-06-08 23:45	MDT	3390	A
USGS	07094500	2017-06-09 00:00	MDT	3390	A
USGS	07094500	2017-06-09 00:15	MDT	3390	A
USGS	07094500	2017-06-09 00:30	MDT	3380	A
USGS	07094500	2017-06-09 00:45	MDT	3380	A
USGS	07094500	2017-06-09 01:00	MDT	3370	A
USGS	07094500	2017-06-09 01:15	MDT	3370	A
USGS	07094500	2017-06-09 01:30	MDT	3370	A
USGS	07094500	2017-06-09 01:45	MDT	3360	A
USGS	07094500	2017-06-09 02:00	MDT	3360	A
USGS	07094500	2017-06-09 02:15	MDT	3360	A
USGS	07094500	2017-06-09 02:30	MDT	3370	A
USGS	07094500	2017-06-09 02:45	MDT	3380	A
USGS	07094500	2017-06-09 03:00	MDT	3400	A
USGS	07094500	2017-06-09 03:15	MDT	3430	A
USGS	07094500	2017-06-09 03:30	MDT	3440	A
USGS	07094500	2017-06-09 03:45	MDT	3450	A
USGS	07094500	2017-06-09 04:00	MDT	3460	A
USGS	07094500	2017-06-09 04:15	MDT	3470	A
USGS	07094500	2017-06-09 04:30	MDT	3470	A
USGS	07094500	2017-06-09 04:45	MDT	3480	A
USGS	07094500	2017-06-09 05:00	MDT	3490	A
USGS	07094500	2017-06-09 05:15	MDT	3500	A
USGS	07094500	2017-06-09 05:30	MDT	3510	A
USGS	07094500	2017-06-09 05:45	MDT	3520	A
USGS	07094500	2017-06-09 06:00	MDT	3530	A
USGS	07094500	2017-06-09 06:15	MDT	3540	A
USGS	07094500	2017-06-09 06:30	MDT	3550	A
USGS	07094500	2017-06-09 06:45	MDT	3560	A
USGS	07094500	2017-06-09 07:00	MDT	3570	A
USGS	07094500	2017-06-09 07:15	MDT	3580	A
USGS	07094500	2017-06-09 07:30	MDT	3590	A
USGS	07094500	2017-06-09 07:45	MDT	3610	A
USGS	07094500	2017-06-09 08:00	MDT	3620	A
